source|target|weight
ur.07747523442.25|ur.015132133207.80|1
ur.07747523442.25|ur.01151247471.23|1
ur.07747523442.25|ur.015444426174.36|1
ur.07747523442.25|ur.01024231643.99|1
ur.07747523442.25|ur.0626543213.43|1
ur.01024231643.99|ur.0765302734.41|1
ur.01024231643.99|ur.0642343627.68|1
ur.01024231643.99|ur.015132133207.80|1
ur.01024231643.99|ur.01151247471.23|1
ur.01024231643.99|ur.015444426174.36|1
ur.01024231643.99|ur.0626543213.43|1
ur.015444426174.36|ur.0765302734.41|1
ur.015444426174.36|ur.0642343627.68|1
ur.015444426174.36|ur.015132133207.80|1
ur.015444426174.36|ur.01151247471.23|1
ur.015444426174.36|ur.0626543213.43|1
ur.0765302734.41|ur.0642343627.68|1
ur.0765302734.41|ur.015132133207.80|1
ur.0765302734.41|ur.01151247471.23|1
ur.0765302734.41|ur.0626543213.43|1
ur.0642343627.68|ur.015132133207.80|1
ur.0642343627.68|ur.01151247471.23|1
ur.0642343627.68|ur.0626543213.43|1
ur.0626543213.43|ur.015132133207.80|1
ur.0626543213.43|ur.01151247471.23|1
ur.01151247471.23|ur.015132133207.80|1
ur.07765600471.53|ur.011360541471.28|1
ur.012767104325.34|ur.013753670155.15|1
ur.015521154301.78|ur.011062232417.22|1
ur.01172527351.88|ur.010631325304.99|1
ur.01172527351.88|ur.0607170326.51|1
ur.010631325304.99|ur.0607170326.51|2
ur.010631325304.99|ur.01222150754.25|2
ur.010631325304.99|ur.01273434240.39|2
ur.010631325304.99|ur.01105722354.85|1
ur.010631325304.99|ur.01047774761.46|1
ur.010631325304.99|ur.01130371715.50|1
ur.010631325304.99|ur.01054575033.37|1
ur.010631325304.99|ur.01231721600.58|1
ur.010631325304.99|ur.01166311277.79|1
ur.010631325304.99|ur.011075133363.70|1
ur.010631325304.99|ur.01005221031.41|1
ur.010631325304.99|ur.0637334125.62|1
ur.0607170326.51|ur.01005221031.41|1
ur.0607170326.51|ur.0637334125.62|1
ur.0664065627.24|ur.01224536717.83|1
ur.01224536717.83|ur.01032066060.90|1
ur.01224536717.83|ur.01033644072.15|1
ur.01224536717.83|ur.0717523030.00|1
ur.01300046647.03|ur.01350363167.62|1
ur.01300046647.03|ur.01036747633.75|1
ur.01300046647.03|ur.0615714577.26|1
ur.01036747633.75|ur.01350363167.62|1
ur.01036747633.75|ur.0615714577.26|1
ur.01350363167.62|ur.0615714577.26|1
ur.01201357361.13|ur.01016705651.70|1
ur.01201357361.13|ur.01161633026.26|1
ur.01011155323.59|ur.01372161601.93|1
ur.01011155323.59|ur.01105323735.15|1
