source|target|weight
ur.0767105504.29|ur.01242565474.00|3
ur.0767105504.29|ur.01100431331.04|2
ur.0767105504.29|ur.01037737316.13|2
ur.0767105504.29|ur.01005504116.00|2
ur.0767105504.29|ur.01257703457.74|2
ur.0767105504.29|ur.0640512403.86|2
ur.0767105504.29|ur.0767105504.29|1
ur.0767105504.29|ur.013150070613.88|1
ur.0767105504.29|ur.0657076451.24|1
ur.0767105504.29|ur.0714500516.26|1
ur.0767105504.29|ur.01357557454.25|1
ur.0767105504.29|ur.01340526721.32|1
ur.0767105504.29|ur.0630776216.98|1
ur.0767105504.29|ur.0641223730.49|1
ur.0767105504.29|ur.0667506721.51|1
ur.0767105504.29|ur.0702657043.11|1
ur.0767105504.29|ur.01360204563.80|1
ur.0767105504.29|ur.01367004535.41|1
ur.0767105504.29|ur.014441067023.96|1
ur.0767105504.29|ur.011535264111.51|1
ur.0767105504.29|ur.01174312056.32|1
ur.0767105504.29|ur.012137371515.19|1
ur.0767105504.29|ur.01217153226.17|1
ur.0767105504.29|ur.01236223766.99|1
ur.0767105504.29|ur.01242425256.87|1
ur.0767105504.29|ur.01253355521.43|1
ur.0767105504.29|ur.01302747466.26|1
ur.0767105504.29|ur.01017651671.49|1
ur.0767105504.29|ur.01074507765.63|1
ur.0767105504.29|ur.011033016243.08|1
ur.0767105504.29|ur.01105323735.15|1
ur.0721775233.60|ur.01207120103.29|11
ur.0721775233.60|ur.0721730631.45|11
ur.0721775233.60|ur.01242565474.00|9
ur.0721775233.60|ur.07423561367.62|9
ur.0721775233.60|ur.0657076451.24|6
ur.0721775233.60|ur.011535264111.51|6
ur.0721775233.60|ur.0767105504.29|6
ur.0721775233.60|ur.011033016243.08|6
ur.0721775233.60|ur.0721775233.60|4
ur.0721775233.60|ur.01100431331.04|4
ur.0721775233.60|ur.010546143103.08|3
ur.0721775233.60|ur.0640512403.86|3
ur.0721775233.60|ur.0704160417.51|3
ur.0721775233.60|ur.0722660612.29|3
ur.0721775233.60|ur.0714500516.26|1
ur.0721775233.60|ur.0702657043.11|1
ur.0721775233.60|ur.0674632425.14|1
ur.0721775233.60|ur.0606703734.66|1
ur.0721775233.60|ur.014306243761.27|1
ur.0721775233.60|ur.013150070613.88|1
ur.0721775233.60|ur.012776413773.26|1
ur.0721775233.60|ur.012137371515.19|1
ur.0721775233.60|ur.01107342035.04|1
ur.0721775233.60|ur.010542646154.35|1
ur.011033016243.08|ur.07423561367.62|2
ur.011033016243.08|ur.01207120103.29|2
ur.011033016243.08|ur.01242565474.00|2
ur.011033016243.08|ur.0721730631.45|2
ur.011033016243.08|ur.01100431331.04|1
ur.011033016243.08|ur.011033016243.08|1
ur.011033016243.08|ur.011535264111.51|1
